fighter_1,fighter_2,knockdowns_1,knockdowns_2,total_strikes_1,total_strikes_2,significant_strikes_1,significant_strikes_2,head_strikes_1,head_strikes_2,body_strikes_1,body_strikes_2,leg_strikes_1,leg_strikes_2,distance_strikes_1,distance_strikes_2,clinch_strikes_1,clinch_strikes_2,ground_strikes_1,ground_strikes_2,takedowns_1,takedowns_2,submission_attempts_1,submission_attempts_2,reversals_1,reversals_2,control_time_1,control_time_2,result,method,round,time,referee,ufc_stats_com_url
Phil Hawes,Nassourdine Imavov,0,0,101 of 128,87 of 124,31 of 54,57 of 93,13 of 31,39 of 71,7 of 9,14 of 17,11 of 14,4 of 5,23 of 42,29 of 62,7 of 11,27 of 30,1 of 1,1 of 1,4 of 7,0 of 0,0,0,0,0,11:06,0:07,W,Decision - Majority,3,5:00,Chris Tognoni,http://ufcstats.com/fight-details/05ceb8b2f93993a6
Andrei Arlovski,Tom Aspinall,0,0,22 of 57,41 of 64,20 of 55,37 of 60,8 of 40,22 of 44,7 of 9,6 of 7,5 of 6,9 of 9,17 of 49,24 of 40,3 of 6,13 of 20,0 of 0,0 of 0,0 of 0,1 of 1,0,1,0,0,0:00,2:17,L,Submission,2,1:09,Mark Smith,http://ufcstats.com/fight-details/15b1c7ddc4415fdd
Jared Gordon,Danny Chavez,0,0,138 of 191,42 of 116,82 of 131,39 of 113,41 of 89,23 of 91,19 of 20,5 of 8,22 of 22,11 of 14,67 of 110,38 of 112,6 of 8,1 of 1,9 of 13,0 of 0,2 of 7,1 of 1,0,0,0,0,6:07,0:10,W,Decision - Unanimous,3,5:00,Herb Dean,http://ufcstats.com/fight-details/931fd51ab69fb443
Eddie Wineland,John Castaneda,0,1,17 of 66,44 of 59,17 of 66,42 of 57,10 of 50,23 of 34,3 of 6,4 of 7,4 of 10,15 of 16,16 of 63,34 of 49,0 of 0,2 of 2,1 of 3,6 of 6,1 of 1,0 of 0,0,0,0,0,0:12,0:04,L,KO/TKO,1,4:44,Jason Herzog,http://ufcstats.com/fight-details/990c2378caec68d4
Nate Landwehr,Julian Erosa,0,1,9 of 14,17 of 25,9 of 14,15 of 23,5 of 9,11 of 18,1 of 1,2 of 3,3 of 4,2 of 2,6 of 11,12 of 17,3 of 3,2 of 5,0 of 0,1 of 1,0 of 0,0 of 0,0,0,0,0,0:00,0:01,L,KO/TKO,1,0:56,Mark Smith,http://ufcstats.com/fight-details/e175c1a0bff30187
Shana Dobson,Casey O'Neill,0,0,27 of 42,132 of 183,16 of 28,49 of 68,9 of 21,44 of 62,5 of 5,3 of 4,2 of 2,2 of 2,11 of 20,17 of 24,3 of 4,1 of 1,2 of 4,31 of 43,0 of 0,4 of 6,0,1,1,0,0:13,7:26,L,KO/TKO,2,3:41,Chris Tognoni,http://ufcstats.com/fight-details/1d892fec31dc7ad7
Aiemann Zahabi,Drako Rodriguez,1,0,9 of 11,13 of 35,9 of 11,11 of 33,8 of 10,6 of 27,1 of 1,1 of 2,0 of 0,4 of 4,6 of 7,8 of 30,1 of 2,3 of 3,2 of 2,0 of 0,0 of 0,0 of 0,0,0,0,0,0:10,0:00,W,KO/TKO,1,3:05,Mark Smith,http://ufcstats.com/fight-details/b9cd4910f0ecff45
Serghei Spivac,Jared Vanderaa,0,0,107 of 135,27 of 38,51 of 72,13 of 24,51 of 72,8 of 19,0 of 0,3 of 3,0 of 0,2 of 2,7 of 17,11 of 22,0 of 0,2 of 2,44 of 55,0 of 0,3 of 3,0 of 0,0,0,0,0,8:29,0:00,W,KO/TKO,2,4:32,Chris Tognoni,http://ufcstats.com/fight-details/c3b6aa47e7532a7b
Kamaru Usman,Gilbert Burns,2,0,93 of 149,55 of 124,83 of 136,45 of 108,56 of 105,18 of 75,11 of 15,13 of 14,16 of 16,14 of 19,54 of 100,44 of 104,3 of 4,1 of 4,26 of 32,0 of 0,0 of 0,0 of 3,0,0,0,0,2:05,0:00,W,KO/TKO,3,0:34,Herb Dean,http://ufcstats.com/fight-details/be94e5b7a35ce5f2
Maycee Barber,Alexa Grasso,0,0,50 of 165,95 of 162,40 of 152,38 of 81,23 of 130,24 of 57,14 of 18,9 of 14,3 of 4,5 of 10,18 of 119,25 of 61,20 of 31,13 of 20,2 of 2,0 of 0,3 of 5,0 of 0,0,1,0,1,3:14,5:10,L,Decision - Unanimous,3,5:00,Keith Peterson,http://ufcstats.com/fight-details/25b8c932da5e91f4
